id,id_str,screen_name,location,age,in_out_ratio,favorites_ratio,status_ratio,account_rep,avg_tpd,hashtags_ratio,user_mentions_ratio,mal_url_ratio,cce,spam_ratio,description,bot
4303727112,4303727112,mattlieberisbot,,88621120.44218493,1,0,1.1309267982611957,1,3.5587188612099645,0,0,0,85.96062995974947,0.06,Retired   Inspired by the smart  funny folks at  replyall and  gimletmedia   A bot by  ashur,1
3063139353,3063139353,sc_papers,,111771716.38134289,1,0,1.297873958605637,1,2.577319587628866,0,0,0,156.8395570765676,0.09, ,1
545449655,545449655,DeportMalkin,,203240871.38343406,2.0242424242424244,0.8140882238585312,1.357380521556287,0.6693386773547094,4.032258064516129,0.543,0.653,0.0,123.52552994383701,0.05,LET S GO FLYERS AND EAGLES   ,0
9624742,9624742,StateDept,"Washington, DC",343663636.50976706,11403.366890380314,0.006033806838161265,14.22117990030959,0.9999123142906913,10.869565217391305,0.908,1.689,0.0,201.8126728776141,0.005,Welcome to the official U S  Department of State Twitter account  Follow  SecPompeo for more from the Secretary of State ,0
2955142070,2955142070,lucarivera16,"Dublin, United States",116532674.4619019,1,0.14235320760121561,0.16459589628890556,1,1.728813559322034,1.4852941176470589,1.803921568627451,0,54.52500372085131,0.07352941176470588,Inspiring cooks everywhere since      ,1
2482834658,2482834658,_all_of_us_,in a machine.,137168823.0550089,1,0,3.822116340458426,1,15.873015873015873,0,0,0,27.39191120031825,0.21,bot by  rubicon,1
3333573622,3333573622,KatamariItems,,102005431.88150597,4727.5,0.011011178319452232,2.5876269050712746,0.9997885164428466,4.608294930875576,0.003,0.078,0,54.364819182792075,0.265, Bot rolled up by  BeachEpisode  Cataloguing every item from the Katamari series one at a time ,1
2996105102,2996105102,AutophagyPapers,,114460469.02375293,1,0.018871144058930554,11.076606716829879,1,8,0,0,0,99.46200644573072,0.067,Twitterbot for  Autophagy papers  Curated by  SoniaHall,1
3271095818,3271095818,HSC_papers,,100389091.2578249,45.666666666666664,0,4.106167262151302,0.9785714285714285,4.672897196261682,0,0,0,153.48837448634137,0.098, ,1
2717905134,2717905134,everycheese,cheese land,129142645.10930109,48,0,0.07426206883003732,0.9795918367346939,3.9642857142857144,0,0,0,26.728142695781965,0.2702702702702703,cheese cheese cheese    updates every   hours    by  thricedotted  with inspiration from cheese and  mattlaschneider,1
